sr,tender_number,title,description,ppra_category,reference,organization,location,status,advertised_date,closing_date,closing_time,detail_url,category,closing_dt,scraped_at
1244,TS0000011190E,"OP-A4917-NZ-ANNUAL CONTRACT FOR REFILLING, REPAIRING OF FIRE EXTINGUISHERS AT SOUTH ZONE LOCATIONS","SPECIAL INSTRUCTIONS:  Any party interested to participate in any of the tender(s) may send its request for tender documents through SAP Ariba Portal in the following manner:  1.	Scanned copy of the duly signed and stamped request on official letterhead of the bidder shall be uploaded on SAP Ariba Portal. In the subject request letter, please mention “Tender Documents Collection Request – Tender No.______”. 2.	Request shall be accompanied by scanned copies of the following: a.	Valid NTN, GST/PST certificates, CNIC of owner/ authorized representative. Vendor should be an active tax payer. OP-A4917-NZ-ANNUAL CONTRACT FOR REFILLING,...",Services,"OP-A4917-NZ-ANNUAL CONTRACT FOR REFILLING, REPAIRING OF FIRE EXTINGUISHERS AT SOUTH ZONE LOCATIONS",Pakistan State Oil (PSO),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",02:15 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011190E,Services,2026-08-25,2026-08-30T06:06:58.732314
1245,TS0000011204E,"TD06-14 26-27 Supply of Sieve, Dialysis Machine & Misc Services Construction, DCD & Manpower etc.","TD06-14 26-27 Supply of Sieve, Dialysis Machine & Misc Services Construction, DCD & Manpower etc. BRT/QT/TD-06/2026-27. Rate contract with a...",Miscellaneous,BRT/QT/TD-06-14/2026-27,Ministry of Energy (Petroleum Division),Quetta - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011204E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1246,TS0000011217E,"CONSTRUCTION OF ADDITIONAL ROOMS ON GROUND FLOOR, 1ST FLOOR, 2ND FLOOR & 3RD FLOOR OF MAIN BLOCK & WINGS BLOCK, UPLIFTING OF FACADE OF MAIN BLOCK & ACADEMY BLOCK AT FIA HEAD QUARTER, SECTOR G-9/4, ISLAMABAD",,Civil Works,P68801,Ministry of Interior and Narcotics Control,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011217E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1247,TS0000011219E,"CONTRUCTION OF CAFETERIA AT FIA HEAD QUARTER , SECTOR G-9/4, ISLAMABAD",,Civil Works,P68699,Ministry of Interior and Narcotics Control,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011219E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1248,TS0000011221E,"CONSTRUCTION OF COUNTER TERRORISM WING AT FIA HEAD QUARTER, SECTOR G-9/4, ISLAMABAD",,Civil Works,P68306,Ministry of Interior and Narcotics Control,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011221E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1249,TS0000011222E,"Renovation/Revamping of Main Block at FIA Headquarter, Sector G-9/4, Islamabad",,Civil Works,P68438,Ministry of Interior and Narcotics Control,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011222E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1250,TS0000011223E,"REVAMPING OF GLOBAL INTERPOL ACADEMY, FIA HEAD QUARTER, SECTOR G-9/4, ISLAMABAD",,Civil Works,P68552,Ministry of Interior and Narcotics Control,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011223E,Construction/Works,2026-08-25,2026-08-30T06:06:58.732314
1251,TS0000011224E,Services Required for Calibration of Flow Meters At Various Ops Locations.,OP-A4918-SZ,Services,OP-A4918-SZ,Pakistan State Oil (PSO),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",02:15 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011224E,Services,2026-08-25,2026-08-30T06:06:58.732314
1252,TS0000011227E,Galvanized Studs / Washers / Screws,,Equipments,FCS/SOA/TE/056/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011227E,Goods/Supplies,2026-08-25,2026-08-30T06:06:58.732314
1253,TS0000011230E,"Hiring Of Premises Rental Premises for Sub Zonal Office Having at Least 2 to 3 Rooms,Additional Room/Storage Space Would be Added Advantage Admeasuring Area of 1500-4000 Sq.Ft.Premises Must Sufficient Parking Area for Tando Hyder Hyderabad (Interested Parties Having Legally Cleared with Valid Title/Ownership Documents of Premises Are Eligible To Participate) (Under Single Stage One Envelope Bidding Procedure).","Hiring Of Premises Rental Premises for Sub Zonal Office Having at Least 2 to 3 Rooms,Additional Room/Storage Space Would be Added Advantage Admeasuring Area of 1500-4000 Sq.Ft.Premises Must Sufficient Parking Area for Tando Hyder Hyderabad (Interested Parties Having Legally Cleared with Valid Title/Ownership Documents of Premises Are Eligible To Participate) (Under Single Stage One Envelope Bidding Procedure). Hiring Of Premises Rental Premises for Sub Zonal...",Services,. SSGC/SC/PT/EPADS2/14311,Ministry of Energy (Petroleum Division),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011230E,Services,2026-08-25,2026-08-30T06:06:58.732314
1254,TS0000011231E,Rental Premises For Sub Zonal Office Samungali Zone Quetta Having at Least 5 to 10 Rooms Additional Room/Storage Space Would Be Added Advantage Admeasuring Total Area Of 4000 To 7000 Sq.Ft. Premises. Must Have Sufficient Parking area for 3 to 6 vehicles plus motor cycle for atleast 10 (As Per BOQ) (Interested Parties Having Legally Cleared with Valid Title/Ownership Documents of Premises Are Eligible To Participate) (Under Single Stage One Envelope Bidding Procedure).,Rental Premises For Sub Zonal Office Samungali Zone Quetta Having at Least 5 to 10 Rooms Additional Room/Storage Space Would Be Added Advantage Admeasuring Total Area Of 4000 To 7000 Sq.Ft. Premises. Must Have Sufficient Parking area for 3 to 6 vehicles plus motor cycle for atleast 10  (As Per BOQ) (Interested Parties Having Legally Cleared with Valid Title/Ownership Documents of Premises Are Eligible To Participate) (Under Single Stage One Envelope Bidding Procedure). Rental Premises For Sub Zonal Office Samungali...,Services,SSGC/SC/PT/EPADS2/14241,Ministry of Energy (Petroleum Division),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 25, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011231E,Services,2026-08-25,2026-08-30T06:06:58.732314
